value_id,value_name
reg-land-uptake-2,20-49%
reg-land-uptake-3,50-69%
reg-land-uptake-4,70-89%
reg-land-uptake-5,>89%
reg-pop-crvs-0,Unknown or n.a.
reg-pop-crvs-1,No
reg-pop-crvs-2,Planned
reg-pop-crvs-3,Under development
reg-pop-crvs-4,Partially integrated
reg-pop-crvs-5,Fully integrated nationwide
reg-pop-dpi-0,Unknown or n.a.
reg-pop-dpi-1,No
reg-pop-dpi-2,Planned
reg-pop-dpi-3,Under development
reg-pop-dpi-4,Partially integrated
reg-pop-dpi-5,Fully integrated nationwide
reg-pop-exists-0,Unknown or n.a.
reg-pop-exists-1,No
reg-pop-exists-2,Planned
reg-pop-exists-3,Under development
reg-pop-exists-4,Partially deployed
reg-pop-exists-5,Fully deployed nationwide
reg-pop-id-0,Unknown or n.a.
reg-pop-id-1,No
reg-pop-id-2,Planned
reg-pop-id-3,Under development
reg-pop-id-4,Partially integrated
reg-pop-id-5,Fully integrated nationwide
reg-pop-inclusive-0,Unknown or n.a.
reg-pop-inclusive-1,None
reg-pop-inclusive-2,Permanent residents only
reg-pop-inclusive-3,Some refugees and IDPs
reg-pop-inclusive-4,All included
reg-pop-uptake-0,Unknown or n.a.
reg-pop-uptake-1,<20%
reg-pop-uptake-2,20-49%
reg-pop-uptake-3,50-69%
reg-pop-uptake-4,70-89%
reg-pop-uptake-5,>89%
reg-social-dpi-0,Unknown or n.a.
reg-social-dpi-1,No
reg-social-dpi-2,Planned
reg-social-dpi-3,Under development
reg-social-dpi-4,Partially integrated
reg-social-dpi-5,Fully integrated nationwide
reg-social-exists-0,Unknown or n.a.
reg-social-exists-1,No
reg-social-exists-2,Planned
reg-social-exists-3,Under development
reg-social-exists-4,Partially deployed
reg-social-exists-5,Fully deployed nationwide
reg-social-id-0,Unknown or n.a.
reg-social-id-1,No
reg-social-id-2,Planned
reg-social-id-3,Under development
reg-social-id-4,Partially integrated
reg-social-id-5,Fully integrated nationwide
reg-social-uptake-0,Unknown or n.a.
reg-social-uptake-1,<20%
reg-social-uptake-2,20-49%
reg-social-uptake-3,50-69%
reg-social-uptake-4,70-89%
reg-social-uptake-5,>89%
reg-tax-business-0,Unknown or n.a.
reg-tax-business-1,No
reg-tax-business-2,Planned
reg-tax-business-3,Under development
reg-tax-business-4,Partially integrated
reg-tax-business-5,Fully integrated nationwide
reg-tax-businessuptake-0,Unknown or n.a.
reg-tax-businessuptake-1,<20%
reg-tax-businessuptake-2,20-49%
reg-tax-businessuptake-3,50-69%
reg-tax-businessuptake-4,70-89%
reg-tax-businessuptake-5,>89%
reg-tax-dpi-0,Unknown or n.a.
reg-tax-dpi-1,No
reg-tax-dpi-2,Planned
reg-tax-dpi-3,Under development
reg-tax-dpi-4,Partially integrated
reg-tax-dpi-5,Fully integrated nationwide
reg-tax-exists-0,Unknown or n.a.
reg-tax-exists-1,No
reg-tax-exists-2,Planned
reg-tax-exists-3,Under development
reg-tax-exists-4,Partially deployed
reg-tax-exists-5,Fully deployed nationwide
reg-tax-id-0,Unknown or n.a.
reg-tax-id-1,No
reg-tax-id-2,Planned
reg-tax-id-3,Under development
reg-tax-id-4,Partially integrated
reg-tax-id-5,Fully integrated nationwide
reg-tax-incomeuptake-0,Unknown or n.a.
reg-tax-incomeuptake-1,<20%
reg-tax-incomeuptake-2,20-49%
reg-tax-incomeuptake-3,50-69%
reg-tax-incomeuptake-4,70-89%
reg-tax-incomeuptake-5,>89%
reg-tax-scope-0,Unknown or n.a.
reg-tax-scope-1,None
reg-tax-scope-2,Income taxpayers only
reg-tax-scope-3,Business taxpayers only
reg-tax-scope-4,Both income and business taxpayers
rural-clinic-status-0,Unknown or n.a.
rural-clinic-status-1,Entirely paper
rural-clinic-status-2,Mostly paper - some digital
rural-clinic-status-3,Mostly digital - some paper
rural-clinic-status-4,Entirely digital
rural-police-status-0,Unknown or n.a.
rural-police-status-1,Entirely paper
rural-police-status-2,Mostly paper - some digital
rural-police-status-3,Mostly digital - some paper
rural-police-status-4,Entirely digital
rural-registry-status-0,Unknown or n.a.
rural-registry-status-1,Entirely paper
rural-registry-status-2,Mostly paper - some digital
rural-registry-status-3,Mostly digital - some paper
rural-registry-status-4,Entirely digital
rural-school-status-0,Unknown or n.a.
rural-school-status-1,Entirely paper
rural-school-status-2,Mostly paper - some digital
rural-school-status-3,Mostly digital - some paper
rural-school-status-4,Entirely digital
