Chapter,Section,Variable Name,Definition,Format,Other Metadata,Data Collection Guidelines,Variable,Sort
ICT Infrastructure,Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,0=Unknown or n.a.; 1=No legislation; 2=Draft legislation or partial provisions in other laws; 3=Legislation enacted but no enforcement authority; 4=Legislation enacted with Data Protection Authority established; 5=Mature framework with active enforcement and regional alignment,"Primary sources: UNCTAD Cyberlaw Tracker (data protection section), Data Protection Africa, African Union Convention ratification tracker, national gazette/legal databases. UNCTAD covers all African countries.","Search: UNCTAD Cyberlaw Tracker '[Country]', Data Protection Africa '[Country]', '[Country] data protection act', '[Country] data protection authority', AU Convention on Cyber Security ratification status, DLA Piper data protection laws of the world.",ict-storage-dataprotection,17
ICT Infrastructure,Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",0=Unknown or n.a.; 1=No commercial data centers; 2=Small-scale facilities only (Tier I-II); 3=At least one Tier III facility; 4=Multiple Tier III facilities or at least one Tier IV; 5=Mature data center market with multiple operators and hyperscale presence,"Primary sources: Cloudscene data center directory, Data Center Map, Xalam Analytics, Africa Data Centres reports, operator websites (Teraco, Equinix, Raxio, PAIX, MainOne, Liquid). Industry is well-documented due to investment interest.","Search: Cloudscene '[Country] data centers', Data Center Map '[Country]', '[Country] colocation data center', Xalam Analytics Africa data center report, Africa Data Centres '[Country]', Raxio '[Country]'. Note tier levels and major operators.",ict-storage-dcpresence,14
ICT Infrastructure,Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,0=Unknown or n.a.; 1=No government data center or cloud strategy; 2=Government data center planned or under construction; 3=Basic government data center operational; 4=National data center operational with cloud strategy adopted; 5=Mature government cloud/data center ecosystem with active migration,"Primary sources: National ICT/digital transformation strategies, e-government agency websites, ministry of ICT reports, World Bank Digital Development country diagnostics, ITU national cybersecurity and ICT reports.","Search: '[Country] national data center', '[Country] government cloud strategy', '[Country] e-government data center', ministry of ICT/digital economy reports, World Bank '[Country] digital development', UN e-Government Survey country profile.",ict-storage-govcloud,15
Digital Id,Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Specify authentication methods: biometric matching, PIN/OTP, QR code, online verification portal.","Sources: DPI Map, ID authority technical documentation, service descriptions. Check for explicit authentication capabilities: biometric matching, credential verification, API-based authentication.",id-functionality-authdigital,36
Digital Id,Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Name the portal and describe the scope of services accessible through it.,"Sources: E-government portals, single sign-on systems. Check for integrated digital ID authentication across government services (e.g., Ghana.gov, MyMzansi, Diia).",id-functionality-authgovtportal,37
Digital Id,Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Describe mechanism: self-service portal, mobile app, or formal request procedure.","Sources: ID authority privacy policies, data subject rights documentation. Check for self-service portals, mobile apps, or formal request procedures for data access.",id-functionality-dataview,42
Digital Id,Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Specify: which sectors use eKYC, whether API-based or manual, and the regulatory basis.","Sources: Financial sector regulations, ID authority partnerships with banks. Check for electronic KYC verification allowing service providers to access verified identity data.",id-functionality-kycenable,38
Digital Id,Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,"0=Unknown or n.a.; 1=No; 2=Yes, but not specific to ID; 3=Yes, with ID-specific judicial mechanisms",Provide details in Comments. Cite constitutional provisions or administrative law enabling judicial review of ID decisions.,"Sources: Constitutional provisions, administrative law, judicial review mechanisms. Check if ID-related disputes can be taken to court and if court can review ID authority decisions.",id-governance-courtoversight,22
Digital Id,Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,0=Unknown or n.a.; 1=No integration; 2=Partial integration; 3=Full integration,"Provide details in Comments. Specify: direction of integration (CRVS feeds ID, ID feeds CRVS, or bidirectional), technical mechanism, and any ongoing integration projects.","Sources: Civil registration authority websites, UNICEF CRVS reports, ID4D dataset, AU APAI-CRVS initiative documentation. Check for shared databases, automatic birth-to-ID registration pipelines, and data exchange protocols between civil registration and ID authorities.",id-governance-crvs,21
Digital Id,Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",0=Unknown or n.a.; 1=Not available; 2=Partially available; 3=Fully available,"Provide details in Comments. Specify: whether rules are published online, whether consent mechanisms exist, and whether data-sharing agreements are publicly documented.","Sources: ID regulations, privacy policies, data sharing agreements. Check for explicit data sharing frameworks, consent mechanisms, and documentation of data flows.",id-governance-datasharingrules,23
Digital Id,Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Distinguish from general ID legislation. Cite specific regulation name and date.,"Sources: Legal databases, government gazettes, ID authority policy documents. Distinguish from general ID legislation - look for explicit digital ID policies, data protection rules specific to digital ID.",id-governance-digidreg,17
Digital Id,Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Cite specific DPA name and year. Note whether biometric data is explicitly covered.,"Sources: DLA Piper Data Protection Laws, UNCTAD Data Protection Tracker, national legal databases. Check if DPA explicitly covers biometric data and ID systems.",id-governance-dpaexists,18
Digital Id,Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Name the DPA authority. Distinguish between existence and active enforcement of oversight.,"Sources: Data protection authority websites, regulatory frameworks. Verify active oversight role, not just existence. Check for ID system-specific mandates or compliance requirements.",id-governance-dpaoversight,19
Digital Id,Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Cite specific legal provision. Note any limitations (e.g., accepted for some purposes but not others).","Sources: Identity legislation, digital ID regulations. Check specific legal provisions stating digital ID has same legal validity as traditional ID. Note any limitations.",id-governance-legalproof,20
Digital Id,Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Cite specific legislation by name, year, and section where possible.","Sources: National legal databases, parliament/legislature websites, ID authority legal pages. Record specific acts: ID Act, Civil Registration Act, Digital ID Regulation. Cite official legal references.",id-governance-legframework,16
Digital Id,Ownership,Maintenance,"Whether the system and the production of credentials can be managed, maintained and developed by in-country technical staff (as opposed to foreign vendors)",0=Unknown or n.a.; 1=Foreign vendors dominate;2=Partial in-country capacity; 3=All in-country,"Provide details in Comments. Specify: identity of primary vendor, contract arrangements, and any capacity-building or technology transfer programs.","Sources: ID authority procurement records, World Bank project documents, vendor announcements, news reports on system contracts. Check for technology transfer agreements, local training programs, and vendor dependency risks. Search for ""[country] national ID system vendor"" and ""[country] ID authority technical capacity.""",id-ownership-maintenance,14
Digital Id,Ownership,Ministry of Finance Oversight,Whether the Ministry of Finance has oversight of the financing and development of the digital ID system,0=Unknown or n.a.; 1=No oversight; 2=Partial oversight; 3=Full oversight,Provide details in Comments. Specify: which ministry oversees budget allocation and whether the ID authority has a dedicated budget line.,"Sources: National budget documents, medium-term expenditure frameworks, ID authority annual reports, World Bank or donor project appraisal documents. Check whether ID system has dedicated budget line under MoF. Search for ""[country] national ID budget"" and ""[country] ID system funding.""",id-ownership-oversight,24
Digital Id,Ownership,Sustainability,"Whether the ongoing management, maintenance and development of the ID system can be funded by sustainable domestic resources",0=Unknown or n.a.; 1=Primarily dependent on external funding; 2=Mixed domestic/external; 3=Primarily domestic funding,"Provide details in Comments. Identify major external funders (e.g., World Bank, EU) and any sustainability plan. Note ratio of domestic vs external funding if available.","Sources: World Bank ID4D project documents, donor coordination reports, ID authority financial statements, government budget documents. Check for donor dependency by searching ""[country] digital ID World Bank funding"" and ""[country] ID system donor support."" Note ratio of domestic vs external funding if available.",id-ownership-sustainability,26
Digital Id,System,Biometric Data Collection,"Whether the system collects biometric data and which modalities are collected (fingerprints, facial image, iris scans)",0=Unknown or n.a.; 1=No; 2=Fingerprints only; 3=Facial/Iris,"Provide details in Comments. Specify: modalities collected (fingerprints, facial, iris), number of fingerprints (2 or 10), and whether biometrics are stored centrally or on the credential.","Sources: ID authority technical documentation, registration process descriptions, ID4D dataset. Specify number of fingerprints collected (typically 2 or 10), whether facial image captured, and iris scan usage.",id-system-biocollect,7
Digital Id,System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,0=Unknown or n.a.; 1=Paper only; 2=Mix of paper and digital; 3=Digital,Provide details in Comments. Specify: estimated proportion of records digitized and any ongoing digitization programs.,"Sources: ID authority technical reports, system documentation. Assess extent of digitization - fully electronic, hybrid, or primarily paper-based.",id-system-dbelectronic,11
Digital Id,System,Digital ID System Exists,"Whether the country has established or is actively developing a national digital identity system, including foundational ID systems that enable authentication across multiple services. Fully deployed means operational nationwide and accepting new registrations.",0=Unknown or n.a.; 1=No; 2=Planning; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"Provide details in Comments. Specify: system name, managing authority, year launched or planned, and credential type (card, mobile, number).","Sources: Government websites, ID authority websites, World Bank ID4D dataset, DPI Map, official legislation. Check for claims of digital or electronic ID publicly displayed in official sources. Verify implementation status through operational websites or evidence of system usage.",id-system-didexists,1
Digital Id,System,System Interoperability,Whether the digital ID system is designed to be interoperable across government agencies and with other systems through APIs or data exchange protocols,0=Unknown or n.a.; 1=No; 2=Yes,"Provide details in Comments. Specify: which agencies are connected, whether APIs are documented publicly, and any interoperability framework in place.","Sources: DPI Map, technical architecture documentation, e-government interoperability frameworks. Check for API availability, data exchange agreements, and cross-agency usage evidence.",id-system-sysinterop,9
Digital Id,Uptake,Banking/Financial Services Use,Whether credential is accepted or mandatory for opening bank accounts and accessing financial services,0=Unknown or n.a.; 1=No; 2=Accepted but not mandatory; 3=Mandatory,Provide details in Comments. Cite regulatory basis (central bank KYC requirements). Note whether digital verification or physical credential is required.,"Sources: Central bank regulations, KYC requirements, financial inclusion policies. Check if digital ID satisfies KYC requirements and is accepted by banks.",id-uptake-bankuse,46
Digital Id,Uptake,Cost of Credential,Whether credentials are issued free of charge,0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Record fee amount in local currency and USD equivalent. Note any fee waivers or subsidies for vulnerable groups.,"Sources: ID authority fee schedules, government gazettes, ID4D dataset. Record local currency and USD equivalent. Note fee waivers or subsidies for vulnerable groups.",id-uptake-cost,31
Digital Id,Uptake,Cross-Border Recognition,Whether the digital ID is recognized or interoperable across borders through regional agreements or travel documents,"0=Unknown or n.a.; 1=No; 2=Recognized in some regional contexts (e.g., ECOWAS travel); 3=Formally interoperable across borders","Provide details in Comments. Specify regional framework (ECOWAS, EAC, SADC). Note whether credential is accepted as a travel document.","Sources: Regional integration frameworks (e.g., ECOWAS, EAC), travel document policies. Check for regional ID initiatives, border management systems integration.",id-uptake-crossborder,50
Digital Id,Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,0=Unknown or n.a.; 1=>17; 2=10-17; 3=6-10; 4=1-5; 5=<1,Provide details in Comments. Distinguish between registration age and credential issuance age if different. Note any birth registration linkage.,"Sources: ID legislation, registration policies, ID4D dataset. Note if enrollment at birth vs at specific age. Check for different ages for registration vs credential issuance.",id-uptake-enrolleligible,28
Digital Id,Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",0=Unknown or n.a.; 1=Optional; 2=Mandatory for some; 3=Mandatory for all,Provide details in Comments. Note penalties for non-compliance. Distinguish mandatory registration from mandatory credential possession.,"Sources: ID legislation, registration requirements. Check penalties for non-compliance. Note if mandatory registration differs from mandatory credential possession.",id-uptake-enrollmandatory,29
Digital Id,Uptake,Healthcare Access Use,Whether credential is accepted or mandatory for accessing public healthcare services,0=Unknown or n.a.; 1=No; 2=Accepted but not mandatory; 3=Mandatory,"Provide details in Comments. Specify whether ID is required for registration, insurance enrollment, or service delivery.","Sources: Health ministry policies, patient registration systems, health information systems. Check for ID-health system integration.",id-uptake-healthuse,49
Digital Id,Uptake,Non-National Eligibility,"Whether non-nationals including refugees, asylum seekers, and permanent residents are eligible to register",0=Unknown or n.a.; 1=None; 2=Some; 3=All,"Provide details in Comments. Specify which categories are eligible (refugees, asylum seekers, permanent residents, temporary workers). Cite UNHCR or immigration policy sources.","Sources: ID legislation, immigration policies, UNHCR reports. Check specific provisions for different non-national categories. Note any conditional eligibility.",id-uptake-nonnateligible,30
Digital Id,Uptake,Population Coverage,Percentage of eligible population that has been issued or registered with digital ID credentials,0=Unknown or n.a.; 1=<20%; 2=20-49%;3=50-69%; 4=70-89%; 5=>89%,"Provide details in Comments. Distinguish between enrolled and issued. Note eligible population definition (e.g., citizens 16+, all residents). Cite source and year of data.","Sources: ID authority reports, national statistics, World Bank ID4D, DPI Map. Report both enrolled and issued percentages separately if available. Note eligible population definition (e.g., citizens 16+).",id-uptake-popcoverage,27
Digital Id,Uptake,Security Reviews,"Whether ID system undergoes regular security audits, penetration testing, or vulnerability assessments",0=Unknown or n.a.; 1=No; 2=Yes,Provide details in Comments. Note whether audits are publicly reported. Distinguish between internal reviews and independent third-party assessments.,"Sources: Security reports, audit reports (often confidential). Check for regular security assessments, cyber resilience reviews, and vulnerability management.",id-uptake-securityreview,55
Digital Id,Uptake,SIM Card Registration Use,Whether credential is accepted or mandatory for SIM card activation and mobile service registration,0=Unknown or n.a.; 1=No; 2=Accepted but not mandatory; 3=Mandatory,Provide details in Comments. Cite telecom regulation. Note whether biometric verification is required for SIM registration.,"Sources: Telecom regulations, SIM registration policies, mobile operator requirements. Note if digital ID meets SIM registration requirements.",id-uptake-simreguse,47
Digital Id,Uptake,Social Services Use,Whether credential is accepted or mandatory for registering for social assistance programs and accessing social services,0=Unknown or n.a.; 1=No; 2=Accepted but not mandatory; 3=Mandatory,"Provide details in Comments. Specify which programs require ID (cash transfers, pensions, subsidies).","Sources: Social protection policies, program registration requirements. Check integration with cash transfer programs, pensions, subsidies.",id-uptake-socialservicesuse,48
Digital Pay,Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",0=Unknown or n.a.; 1=No; 2=Partial; 3=Yes,"Comprehensive: All or most taxes payable digitally. Partial: Only certain taxes or fees. Specify which tax types if partial (income tax, VAT, customs, property tax). Note if real-time posting to government accounts. Comment on taxpayer convenience.","Search: ""[Country] digital tax payment"", ""[Country] pay taxes online"", ""[Country] revenue authority digital payments"", tax authority websites payment options, customs digital payment, e-government payment integration, revenue modernization initiatives.",pay-functionality-revenue,40
Digital Pay,Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Yes,"If Yes, provide portal URL and name. Note supported tax types (income, corporate, VAT, etc.). Specify if portal includes filing + payment or payment only. Comment on payment method integration (direct debit, instant payment, card). Note user adoption if available.","Search: ""[Country] tax e-filing portal"", ""[Country] online tax payment"", ""[Country] revenue authority e-services"", tax authority official websites, e-government portals, digital services for taxpayers, press releases on tax portal launches.",pay-functionality-taxportal,41
Digital Pay,Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",0=Unknown or n.a.; 1=No; 2=Yes,"If Yes, note if B2B is common use case or limited. Comment on suitability for SME vs large enterprise payments. Note transaction limit implications for B2B. Mention integration with invoicing/accounting systems if available.","Search: ""[Country] B2B instant payments"", ""[Country] supplier payments digital"", scheme rules on business accounts, transaction limits for B2B, SME payment use cases, payment system B2B features, trade finance integration.",pay-functionality-usecaseb2b,34
Digital Pay,Functionality,Cross-Border Payment Functionality,"Whether the instant payment system enables or plans to enable instant payments across national borders to other countries or regional payment systems, supporting remittances, trade, and regional integration.",0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially functional; 5=Fully functional,"If operational, list connected countries/systems. Note if bilateral or regional (e.g., PAPSS, WAEMU). Specify if all cross-border or limited corridors. Comment on cost and speed vs traditional remittance. Note currency conversion arrangements (local currency settlement).","Search: ""[Country] cross-border instant payments"", ""[Country] PAPSS integration"", ""[Country] regional payment linkage"", PAPSS participant lists, bilateral payment agreements, regional economic community payment integration, remittance corridor digitization.",pay-functionality-usecasecrossborder,35
Digital Pay,Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",0=Unknown or n.a.; 1=No; 2=Limited Use; 3=Yes - Active Use,"Active Use: Government actively disburses via system. Capable: System supports but limited adoption. If active, note main G2P programs using system (pensions, social transfers, civil service salaries). Estimate percentage of G2P digitized if available.","Search: ""[Country] government digital payments"", ""[Country] G2P payments"", ""[Country] social transfer digitization"", government treasury/payment modernization, social protection program documentation, civil service payroll systems, COVID relief digital payments.",pay-functionality-usecaseg2p,32
Digital Pay,Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",0=Unknown or n.a.; 1=No; 2=Yes,"If Yes, note payment methods (QR code, POS, online checkout, in-app). Comment on merchant adoption rate if available. Distinguish between formal large merchants and informal micro-merchants. Note bill payment service integration.","Search: ""[Country] merchant payments"", ""[Country] QR code merchant"", ""[Country] POS acceptance"", scheme rules on merchant payments, merchant payment solutions, e-commerce payment integration, bill payment platforms.",pay-functionality-usecasep2b,31
Digital Pay,Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",0=Unknown or n.a.; 1=No; 2=Limited Use; 3=Yes - Active Use,"Active Use: Government widely accepts payments via system. Capable: System supports but limited use. If active, note which revenue types accepted (taxes, fees, fines, utilities). Note if integrated with e-government platforms. Comment on convenience compared to alternatives.","Search: ""[Country] P2G payments"", ""[Country] pay taxes digitally"", ""[Country] government revenue collection digital"", tax authority payment options, government service portals, revenue authority digitization, utility payment options.",pay-functionality-usecasep2g,33
Digital Pay,Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",0=Unknown or n.a.; 1=No; 2=Yes,"If Yes, note typical use cases (family support, informal trade, bill splitting, etc.). Comment on usage volume/share if available. Note if P2P is primary use case of system.","Search: ""[Country] P2P payments"", ""[Country] person to person transfer"", payment system use case documentation, scheme rules on transaction types, user guides, transaction statistics by type if disclosed.",pay-functionality-usecasep2p,30
Digital Pay,Governance,Central Bank Involvement in Governance,"Whether and how the central bank participates in payment system governance beyond its regulatory oversight role, including board representation, operational management, technical standard-setting, or direct system operation.",0=Unknown or n.a.; 1=No Direct Role; 2=Regulatory Only; 3=Advisory Role; 4=Board Representation; 5=Direct Operation,Direct Operation: CB operates the system. Board Representation: CB has board seats in operator entity. Advisory: CB provides guidance but no formal control. Regulatory Only: CB regulates but doesn't govern operations.,"Search: ""[Country] central bank payment system role"", ""[Country] central bank payment governance"", payment system board composition, central bank organizational structure, payment system governance frameworks, CB strategic documents.",pay-governance-cbgovernance,13
Digital Pay,Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",0=Unknown or n.a.; 1=No; 2=Partial; 3=Yes,"Comprehensive: Dedicated payment consumer protection rules (disclosure, liability limits, dispute resolution, transparency). Partial: General consumer law applies without payment-specific provisions. Cite key regulation.","Search: ""[Country] payment consumer protection"", ""[Country] digital payment user rights"", ""[Country] payment error resolution regulation"", consumer protection laws, central bank consumer protection directives, scheme rules on consumer protection.",pay-governance-consumerprotectlaw,18
Digital Pay,Governance,Data Breach Notification Requirements,"Whether legal or regulatory requirements obligate payment service providers to notify users, regulators, and/or data protection authorities about payment data breaches, cybersecurity incidents, or unauthorized access within specified timeframes.",0=Unknown or n.a.; 1=No; 2=Discretionary; 3=Mandatory,"If mandatory, note notification timeline (e.g., ""within 72 hours""). Specify who must be notified (users, regulator, DPA). Cite regulation imposing requirement. Note enforcement mechanisms/penalties if available.","Search: ""[Country] data breach notification"", ""[Country] payment security incident reporting"", data protection regulations, central bank cybersecurity directives, telecommunications security regulations, incident response frameworks.",pay-governance-databreachnotif,17
Digital Pay,Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",0=Unknown or n.a.; 1=No; 2=General Data Protection Legislation; 3=Specific Payment Data Provisions,"Cite legislation name and year (e.g., ""Data Protection Act 2020""). Note if modeled on GDPR, AU Data Protection Convention. Comment on applicability to mobile money vs bank payments if different.","Search: ""[Country] data protection act"", ""[Country] privacy law payment data"", ""[Country] data protection authority"", legislative databases, AU Convention on Cyber Security and Personal Data Protection ratification status, DPA websites.",pay-governance-dataprivacylaw,16
Digital Pay,Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",0=Unknown or n.a.; 1=No; 2=Ad Hoc; 3=Annual; 4=Monthly/Quarterly,"Specify reporting frequency and format (e.g., ""Quarterly dashboard"", ""Annual report""). Note what metrics are disclosed (transaction volume, value, participant count, uptime, etc.). Provide URL if available.","Search: ""[Country] payment system statistics"", ""[Country] payment system annual report"", payment system operator website, central bank payment statistics publications, financial stability reports, quarterly bulletins.",pay-governance-performancereporting,19
Digital Pay,Governance,Pro-Poor Governance Mechanisms,"Whether payment system governance explicitly includes mechanisms to ensure inclusivity and represent interests of vulnerable populations, including provisions for input from all participant types, consumer representatives, small providers, or explicit financial inclusion mandates in governance documents.",0=Unknown or n.a.; 1=No; 2=Partial; 3=Yes,"Explicit mechanisms: Consumer advisory boards, small PSP representation, inclusion mandate in charter, affordability requirements. Describe specific mechanisms if present (e.g., ""SME PSP reserved board seat"", ""Annual inclusion reporting requirement"").","Search: ""[Country] payment system financial inclusion governance"", ""[Country] payment consumer representation"", scheme rules on inclusion, governance charters, stakeholder consultation frameworks, financial inclusion strategies linked to payment systems.",pay-governance-propoorgovernance,14
Digital Pay,Governance,Scheme Rules Publicly Available,"Whether the scheme rules governing payment system participation, pricing structure, technical requirements, security standards, and conduct are publicly accessible via website, public repository, or on request. Transparency indicator.",0=Unknown or n.a.; 1=No - Confidential; 2=Partial - On Request; 3=Yes - Fully Public,Fully Public: Rules downloadable online without registration. On Request: Available to interested parties who request. Confidential: Only available to participants. Note URL if publicly available. Comment on language availability.,"Search: ""[Country] payment system scheme rules"", ""[Country] payment system rulebook"", payment system operator website documentation sections, participant handbooks, regulatory filings, request access if ""on request"" model noted.",pay-governance-schemerulesavail,15
Digital Pay,System,Digital Payment System Exists,"Whether the country has established or is actively developing an instant/real-time payment system (IPS/RTP) that enables digital payments with near-instant settlement (typically within seconds), available 24/7/365. This includes both bank-led and mobile money interoperability systems.",0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"If ""In Development"", note expected launch date if available. Include year of launch for operational systems.","Search: ""[Country] instant payment system"", ""[Country] real-time payment"", ""[Country] digital payment infrastructure"", central bank payment systems reports. Check SIIPS Report (AfricaNenda Foundation), World Bank payment systems database, central bank websites.",pay-system-dpayexists,1
Digital Pay,Uptake,Active Digital Payment Users,"Percentage of the adult population (15+ years) who have made at least one digital payment transaction through the instant payment system in the past 90 days, indicating active usage rather than just account ownership.",0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Specify measurement period (typically 90 days active). Note if count includes mobile money, bank accounts, or both. Distinguish registered accounts vs active users. Provide denominator (total adult population) if percentage. Source data (survey, system operator, regulator).","Search: ""[Country] active digital payment users"", ""[Country] mobile money active users"", Global Findex data, GSMA mobile money state of industry reports, payment system statistics, financial inclusion surveys, central bank household surveys.",pay-uptake-activeusers,42
Digital Pay,Uptake,Independent Audits and Reviews,"Whether independent external audits of payment system security, operations, financial controls, and compliance are conducted by third-party auditors, and whether audit results or summaries are made public.",0=Unknown or n.a.; 1=No; 2=Private Audits; 3=Public Audits,"Public Results: Audit findings disclosed. Private: Audits conducted but not public. Specify audit types (financial, security, operational, compliance). Note audit frequency (annual, biennial). Name auditor type (Big 4, local firm, government auditor). Mention audit standards used (IFRS, ISA, ISAE).","Search: ""[Country] payment system audit"", ""[Country] payment operator financial statements"", payment system operator annual reports with auditor opinion, regulatory audit requirements, security audit reports, external assessment reports, company filings with audited financials.",pay-uptake-auditsandreviews,59
Digital Pay,Uptake,Accessibility for Persons with Disabilities,"Whether digital payment systems and access points (apps, USSD, agents) are designed to accommodate persons with disabilities (visual, hearing, mobility, cognitive impairments), and disability-disaggregated coverage rates if data available.",0=Unknown or n.a.; 1=No; 2=Partial; 3=Yes,"Yes: Assistive technology compatible, accessible design. Partial: Some features. Describe accommodations: screen reader support, voice interface, tactile/audio ATMs, agent assistance, simplified UI. Cite disability inclusion policy. Note if usage data by disability status collected.","Search: ""[Country] payment accessibility disability"", ""[Country] financial inclusion disability"", accessibility features in payment apps, disability rights legislation applied to financial services, financial inclusion surveys with disability module, assistive technology compatibility, agent services for persons with disabilities.",pay-uptake-disabilityaccess,76
Digital Pay,Uptake,Government Payment Digitization,"Percentage of government payments (G2P disbursements including salaries, pensions, social transfers) made through instant digital payment system rather than cash or check, reflecting government adoption and modernization.",0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Specify which G2P types included (all, social transfers only, salaries, pensions). Note if percentage by value or volume. Distinguish instant payment system vs other digital (e.g., older bank transfer). Mention major programs fully digitized. Source data (treasury, social protection ministry, central bank).","Search: ""[Country] G2P digitization"", ""[Country] government payment modernization"", ""[Country] digital social transfers"", treasury reports, social protection program evaluations, World Bank G2P data, IMF financial management assessments, government digital transformation strategies.",pay-uptake-govtadoption,46
Digital Pay,Uptake,Refugee and Migrant Access,"Whether refugees, asylum seekers, internally displaced persons, migrants, and stateless persons can legally access and open digital payment accounts, and practical barriers or enablers for these populations.",0=Unknown or n.a.; 1=No; 2=Partial; 3=Yes,"Full Access: Refugee ID accepted for account opening. Partial: Some documentation pathways exist. Excluded: National ID required, refugees excluded. Describe documentation accepted (refugee ID, asylum papers). Note regulatory barriers (AML/KYC requirements). Cite refugee financial inclusion policies.","Search: ""[Country] refugee financial inclusion"", ""[Country] migrants mobile money access"", ""[Country] KYC refugee"", refugee affairs regulations, UNHCR financial inclusion programs, humanitarian cash transfer programs, KYC requirements for non-nationals, refugee documentation accepted by PSPs, displacement-affected financial access studies.",pay-uptake-refugeemigrantaccess,78
