priority,chapter,country,rows,file
Medium,Digital Pay,DZA,14,1_Medium__Digital-Pay__DZA.csv
Medium,Digital Pay,EGY,9,1_Medium__Digital-Pay__EGY.csv
Medium,Digital Pay,ETH,5,1_Medium__Digital-Pay__ETH.csv
Medium,Digital Pay,GAB,17,1_Medium__Digital-Pay__GAB.csv
Medium,Digital Pay,GHA,1,1_Medium__Digital-Pay__GHA.csv
Medium,Digital Pay,GIN,8,1_Medium__Digital-Pay__GIN.csv
Medium,Digital Pay,GMB,13,1_Medium__Digital-Pay__GMB.csv
Medium,Digital Pay,GNB,9,1_Medium__Digital-Pay__GNB.csv
Medium,Digital Pay,GNQ,7,1_Medium__Digital-Pay__GNQ.csv
Medium,Digital Pay,KEN,5,1_Medium__Digital-Pay__KEN.csv
Medium,Digital Pay,LBR,9,1_Medium__Digital-Pay__LBR.csv
Medium,Digital Pay,LBY,9,1_Medium__Digital-Pay__LBY.csv
Medium,Digital Pay,LSO,5,1_Medium__Digital-Pay__LSO.csv
Medium,Digital Pay,MAR,7,1_Medium__Digital-Pay__MAR.csv
Medium,Digital Pay,MDG,2,1_Medium__Digital-Pay__MDG.csv
Medium,Digital Pay,MLI,12,1_Medium__Digital-Pay__MLI.csv
Medium,Digital Pay,MOZ,13,1_Medium__Digital-Pay__MOZ.csv
Medium,Digital Pay,MRT,11,1_Medium__Digital-Pay__MRT.csv
Medium,Digital Pay,MUS,18,1_Medium__Digital-Pay__MUS.csv
Medium,Digital Pay,MWI,2,1_Medium__Digital-Pay__MWI.csv
Medium,Digital Pay,NAM,11,1_Medium__Digital-Pay__NAM.csv
Medium,Digital Pay,NER,9,1_Medium__Digital-Pay__NER.csv
Medium,Digital Pay,NGA,11,1_Medium__Digital-Pay__NGA.csv
Medium,Digital Pay,RWA,10,1_Medium__Digital-Pay__RWA.csv
Medium,Digital Pay,SDN,3,1_Medium__Digital-Pay__SDN.csv
Medium,Digital Pay,SEN,7,1_Medium__Digital-Pay__SEN.csv
Medium,Digital Pay,SLE,10,1_Medium__Digital-Pay__SLE.csv
Medium,Digital Pay,SOM,12,1_Medium__Digital-Pay__SOM.csv
Medium,Digital Pay,SSD,9,1_Medium__Digital-Pay__SSD.csv
Medium,Digital Pay,STP,7,1_Medium__Digital-Pay__STP.csv
Medium,Digital Pay,SWZ,4,1_Medium__Digital-Pay__SWZ.csv
Medium,Digital Pay,SYC,6,1_Medium__Digital-Pay__SYC.csv
Medium,Digital Pay,TCD,9,1_Medium__Digital-Pay__TCD.csv
Medium,Digital Pay,TGO,12,1_Medium__Digital-Pay__TGO.csv
Medium,Digital Pay,TUN,4,1_Medium__Digital-Pay__TUN.csv
Medium,Digital Pay,TZA,16,1_Medium__Digital-Pay__TZA.csv
Medium,Digital Pay,UGA,18,1_Medium__Digital-Pay__UGA.csv
Medium,Digital Pay,ZAF,6,1_Medium__Digital-Pay__ZAF.csv
Medium,Digital Pay,ZMB,18,1_Medium__Digital-Pay__ZMB.csv
Medium,Digital Pay,ZWE,15,1_Medium__Digital-Pay__ZWE.csv
Medium,ICT Infrastructure,AGO,19,1_Medium__ICT-Infrastructure__AGO.csv
Medium,ICT Infrastructure,BDI,5,1_Medium__ICT-Infrastructure__BDI.csv
Medium,ICT Infrastructure,BEN,12,1_Medium__ICT-Infrastructure__BEN.csv
Medium,ICT Infrastructure,BFA,18,1_Medium__ICT-Infrastructure__BFA.csv
Medium,ICT Infrastructure,BWA,16,1_Medium__ICT-Infrastructure__BWA.csv
Medium,ICT Infrastructure,CAF,5,1_Medium__ICT-Infrastructure__CAF.csv
Medium,ICT Infrastructure,CIV,18,1_Medium__ICT-Infrastructure__CIV.csv
Medium,ICT Infrastructure,CMR,15,1_Medium__ICT-Infrastructure__CMR.csv
Medium,ICT Infrastructure,COD,16,1_Medium__ICT-Infrastructure__COD.csv
Medium,ICT Infrastructure,COG,10,1_Medium__ICT-Infrastructure__COG.csv
Medium,ICT Infrastructure,COM,13,1_Medium__ICT-Infrastructure__COM.csv
Medium,ICT Infrastructure,CPV,22,1_Medium__ICT-Infrastructure__CPV.csv
Medium,ICT Infrastructure,DJI,15,1_Medium__ICT-Infrastructure__DJI.csv
Medium,ICT Infrastructure,DZA,18,1_Medium__ICT-Infrastructure__DZA.csv
Medium,ICT Infrastructure,EGY,19,1_Medium__ICT-Infrastructure__EGY.csv
Medium,ICT Infrastructure,ERI,6,1_Medium__ICT-Infrastructure__ERI.csv
Medium,ICT Infrastructure,ETH,22,1_Medium__ICT-Infrastructure__ETH.csv
Medium,ICT Infrastructure,GAB,5,1_Medium__ICT-Infrastructure__GAB.csv
Medium,ICT Infrastructure,GHA,22,1_Medium__ICT-Infrastructure__GHA.csv
Medium,ICT Infrastructure,GIN,12,1_Medium__ICT-Infrastructure__GIN.csv
Medium,ICT Infrastructure,GMB,10,1_Medium__ICT-Infrastructure__GMB.csv
Medium,ICT Infrastructure,GNB,10,1_Medium__ICT-Infrastructure__GNB.csv
Medium,ICT Infrastructure,GNQ,10,1_Medium__ICT-Infrastructure__GNQ.csv
Medium,ICT Infrastructure,KEN,21,1_Medium__ICT-Infrastructure__KEN.csv
Medium,ICT Infrastructure,LBR,13,1_Medium__ICT-Infrastructure__LBR.csv
Medium,ICT Infrastructure,LBY,4,1_Medium__ICT-Infrastructure__LBY.csv
Medium,ICT Infrastructure,LSO,17,1_Medium__ICT-Infrastructure__LSO.csv
Medium,ICT Infrastructure,MAR,26,1_Medium__ICT-Infrastructure__MAR.csv
Medium,ICT Infrastructure,MDG,16,1_Medium__ICT-Infrastructure__MDG.csv
Medium,ICT Infrastructure,MLI,14,1_Medium__ICT-Infrastructure__MLI.csv
Medium,ICT Infrastructure,MOZ,16,1_Medium__ICT-Infrastructure__MOZ.csv
Medium,ICT Infrastructure,MRT,13,1_Medium__ICT-Infrastructure__MRT.csv
Medium,ICT Infrastructure,MUS,12,1_Medium__ICT-Infrastructure__MUS.csv
Medium,ICT Infrastructure,MWI,8,1_Medium__ICT-Infrastructure__MWI.csv
Medium,ICT Infrastructure,NAM,23,1_Medium__ICT-Infrastructure__NAM.csv
Medium,ICT Infrastructure,NER,3,1_Medium__ICT-Infrastructure__NER.csv
Medium,ICT Infrastructure,NGA,18,1_Medium__ICT-Infrastructure__NGA.csv
Medium,ICT Infrastructure,RWA,24,1_Medium__ICT-Infrastructure__RWA.csv
Medium,ICT Infrastructure,SDN,13,1_Medium__ICT-Infrastructure__SDN.csv
Medium,ICT Infrastructure,SEN,19,1_Medium__ICT-Infrastructure__SEN.csv
Medium,ICT Infrastructure,SLE,14,1_Medium__ICT-Infrastructure__SLE.csv
Medium,ICT Infrastructure,SOM,11,1_Medium__ICT-Infrastructure__SOM.csv
Medium,ICT Infrastructure,SSD,7,1_Medium__ICT-Infrastructure__SSD.csv
Medium,ICT Infrastructure,STP,12,1_Medium__ICT-Infrastructure__STP.csv
Medium,ICT Infrastructure,SWZ,16,1_Medium__ICT-Infrastructure__SWZ.csv
Medium,ICT Infrastructure,SYC,12,1_Medium__ICT-Infrastructure__SYC.csv
Medium,ICT Infrastructure,TCD,6,1_Medium__ICT-Infrastructure__TCD.csv
Medium,ICT Infrastructure,TGO,10,1_Medium__ICT-Infrastructure__TGO.csv
Medium,ICT Infrastructure,TUN,22,1_Medium__ICT-Infrastructure__TUN.csv
Medium,ICT Infrastructure,TZA,24,1_Medium__ICT-Infrastructure__TZA.csv
Medium,ICT Infrastructure,UGA,22,1_Medium__ICT-Infrastructure__UGA.csv
Medium,ICT Infrastructure,ZAF,20,1_Medium__ICT-Infrastructure__ZAF.csv
Medium,ICT Infrastructure,ZMB,19,1_Medium__ICT-Infrastructure__ZMB.csv
Medium,ICT Infrastructure,ZWE,16,1_Medium__ICT-Infrastructure__ZWE.csv
Medium,Registries,AGO,11,1_Medium__Registries__AGO.csv
Medium,Registries,BDI,7,1_Medium__Registries__BDI.csv
Medium,Registries,BEN,15,1_Medium__Registries__BEN.csv
Medium,Registries,BFA,9,1_Medium__Registries__BFA.csv
Medium,Registries,BWA,30,1_Medium__Registries__BWA.csv
Medium,Registries,CAF,4,1_Medium__Registries__CAF.csv
Medium,Registries,CIV,9,1_Medium__Registries__CIV.csv
Medium,Registries,CMR,9,1_Medium__Registries__CMR.csv
Medium,Registries,COD,5,1_Medium__Registries__COD.csv
Medium,Registries,COG,4,1_Medium__Registries__COG.csv
Medium,Registries,COM,5,1_Medium__Registries__COM.csv
Medium,Registries,DJI,6,1_Medium__Registries__DJI.csv
Medium,Registries,DZA,11,1_Medium__Registries__DZA.csv
Medium,Registries,EGY,18,1_Medium__Registries__EGY.csv
Medium,Registries,ETH,13,1_Medium__Registries__ETH.csv
Medium,Registries,GAB,8,1_Medium__Registries__GAB.csv
Medium,Registries,GHA,18,1_Medium__Registries__GHA.csv
Medium,Registries,GIN,13,1_Medium__Registries__GIN.csv
Medium,Registries,GMB,5,1_Medium__Registries__GMB.csv
Medium,Registries,GNB,8,1_Medium__Registries__GNB.csv
Medium,Registries,GNQ,6,1_Medium__Registries__GNQ.csv
Medium,Registries,KEN,9,1_Medium__Registries__KEN.csv
Medium,Registries,LBY,11,1_Medium__Registries__LBY.csv
Medium,Registries,LSO,15,1_Medium__Registries__LSO.csv
Medium,Registries,MAR,18,1_Medium__Registries__MAR.csv
Medium,Registries,MDG,11,1_Medium__Registries__MDG.csv
Medium,Registries,MLI,5,1_Medium__Registries__MLI.csv
Medium,Registries,MOZ,12,1_Medium__Registries__MOZ.csv
Medium,Registries,MWI,23,1_Medium__Registries__MWI.csv
Medium,Registries,NAM,20,1_Medium__Registries__NAM.csv
Medium,Registries,NGA,21,1_Medium__Registries__NGA.csv
Medium,Registries,SDN,5,1_Medium__Registries__SDN.csv
Medium,Registries,SEN,20,1_Medium__Registries__SEN.csv
Medium,Registries,SLE,23,1_Medium__Registries__SLE.csv
Medium,Registries,SOM,8,1_Medium__Registries__SOM.csv
Medium,Registries,SSD,5,1_Medium__Registries__SSD.csv
Medium,Registries,SWZ,15,1_Medium__Registries__SWZ.csv
Medium,Registries,SYC,7,1_Medium__Registries__SYC.csv
Medium,Registries,TCD,5,1_Medium__Registries__TCD.csv
Medium,Registries,TGO,27,1_Medium__Registries__TGO.csv
Medium,Registries,TUN,16,1_Medium__Registries__TUN.csv
Medium,Registries,UGA,25,1_Medium__Registries__UGA.csv
Medium,Registries,ZMB,24,1_Medium__Registries__ZMB.csv
OK,Data Exchange,AGO,12,3_OK__Data-Exchange__AGO.csv
OK,Data Exchange,BDI,12,3_OK__Data-Exchange__BDI.csv
OK,Data Exchange,BEN,22,3_OK__Data-Exchange__BEN.csv
OK,Data Exchange,BFA,16,3_OK__Data-Exchange__BFA.csv
OK,Data Exchange,BWA,16,3_OK__Data-Exchange__BWA.csv
OK,Data Exchange,CAF,12,3_OK__Data-Exchange__CAF.csv
OK,Data Exchange,CIV,14,3_OK__Data-Exchange__CIV.csv
OK,Data Exchange,CMR,7,3_OK__Data-Exchange__CMR.csv
OK,Data Exchange,COD,10,3_OK__Data-Exchange__COD.csv
OK,Data Exchange,COG,13,3_OK__Data-Exchange__COG.csv
OK,Data Exchange,COM,7,3_OK__Data-Exchange__COM.csv
OK,Data Exchange,CPV,14,3_OK__Data-Exchange__CPV.csv
OK,Data Exchange,DJI,17,3_OK__Data-Exchange__DJI.csv
OK,Data Exchange,DZA,10,3_OK__Data-Exchange__DZA.csv
OK,Data Exchange,EGY,16,3_OK__Data-Exchange__EGY.csv
OK,Data Exchange,ERI,10,3_OK__Data-Exchange__ERI.csv
OK,Data Exchange,ETH,16,3_OK__Data-Exchange__ETH.csv
OK,Data Exchange,GAB,14,3_OK__Data-Exchange__GAB.csv
OK,Data Exchange,GHA,16,3_OK__Data-Exchange__GHA.csv
OK,Data Exchange,GIN,13,3_OK__Data-Exchange__GIN.csv
OK,Data Exchange,GMB,11,3_OK__Data-Exchange__GMB.csv
OK,Data Exchange,GNB,12,3_OK__Data-Exchange__GNB.csv
OK,Data Exchange,GNQ,12,3_OK__Data-Exchange__GNQ.csv
OK,Data Exchange,KEN,23,3_OK__Data-Exchange__KEN.csv
OK,Data Exchange,LBR,16,3_OK__Data-Exchange__LBR.csv
OK,Data Exchange,LBY,9,3_OK__Data-Exchange__LBY.csv
OK,Data Exchange,LSO,11,3_OK__Data-Exchange__LSO.csv
OK,Data Exchange,MAR,12,3_OK__Data-Exchange__MAR.csv
OK,Data Exchange,MDG,15,3_OK__Data-Exchange__MDG.csv
OK,Data Exchange,MLI,14,3_OK__Data-Exchange__MLI.csv
OK,Data Exchange,MOZ,16,3_OK__Data-Exchange__MOZ.csv
OK,Data Exchange,MRT,16,3_OK__Data-Exchange__MRT.csv
OK,Data Exchange,MUS,21,3_OK__Data-Exchange__MUS.csv
OK,Data Exchange,MWI,11,3_OK__Data-Exchange__MWI.csv
OK,Data Exchange,NAM,8,3_OK__Data-Exchange__NAM.csv
OK,Data Exchange,NER,7,3_OK__Data-Exchange__NER.csv
OK,Data Exchange,NGA,11,3_OK__Data-Exchange__NGA.csv
OK,Data Exchange,RWA,16,3_OK__Data-Exchange__RWA.csv
OK,Data Exchange,SDN,8,3_OK__Data-Exchange__SDN.csv
OK,Data Exchange,SEN,10,3_OK__Data-Exchange__SEN.csv
OK,Data Exchange,SLE,16,3_OK__Data-Exchange__SLE.csv
OK,Data Exchange,SOM,16,3_OK__Data-Exchange__SOM.csv
OK,Data Exchange,SSD,9,3_OK__Data-Exchange__SSD.csv
OK,Data Exchange,STP,9,3_OK__Data-Exchange__STP.csv
OK,Data Exchange,SWZ,10,3_OK__Data-Exchange__SWZ.csv
OK,Data Exchange,SYC,8,3_OK__Data-Exchange__SYC.csv
OK,Data Exchange,TCD,12,3_OK__Data-Exchange__TCD.csv
OK,Data Exchange,TZA,9,3_OK__Data-Exchange__TZA.csv
OK,Data Exchange,UGA,6,3_OK__Data-Exchange__UGA.csv
OK,Data Exchange,ZAF,22,3_OK__Data-Exchange__ZAF.csv
OK,Data Exchange,ZMB,10,3_OK__Data-Exchange__ZMB.csv
OK,Data Exchange,ZWE,6,3_OK__Data-Exchange__ZWE.csv
OK,Digital Id,AGO,25,3_OK__Digital-Id__AGO.csv
OK,Digital Id,BDI,22,3_OK__Digital-Id__BDI.csv
OK,Digital Id,BEN,30,3_OK__Digital-Id__BEN.csv
OK,Digital Id,BFA,28,3_OK__Digital-Id__BFA.csv
OK,Digital Id,BWA,25,3_OK__Digital-Id__BWA.csv
OK,Digital Id,CAF,24,3_OK__Digital-Id__CAF.csv
OK,Digital Id,CIV,30,3_OK__Digital-Id__CIV.csv
OK,Digital Id,CMR,28,3_OK__Digital-Id__CMR.csv
OK,Digital Id,COD,27,3_OK__Digital-Id__COD.csv
OK,Digital Id,COG,29,3_OK__Digital-Id__COG.csv
OK,Digital Id,COM,21,3_OK__Digital-Id__COM.csv
OK,Digital Id,CPV,30,3_OK__Digital-Id__CPV.csv
OK,Digital Id,DJI,27,3_OK__Digital-Id__DJI.csv
OK,Digital Id,DZA,23,3_OK__Digital-Id__DZA.csv
OK,Digital Id,EGY,11,3_OK__Digital-Id__EGY.csv
OK,Digital Id,ERI,12,3_OK__Digital-Id__ERI.csv
OK,Digital Id,ETH,26,3_OK__Digital-Id__ETH.csv
OK,Digital Id,GAB,28,3_OK__Digital-Id__GAB.csv
OK,Digital Id,GHA,30,3_OK__Digital-Id__GHA.csv
OK,Digital Id,GIN,26,3_OK__Digital-Id__GIN.csv
OK,Digital Id,GMB,26,3_OK__Digital-Id__GMB.csv
OK,Digital Id,GNB,21,3_OK__Digital-Id__GNB.csv
OK,Digital Id,GNQ,22,3_OK__Digital-Id__GNQ.csv
OK,Digital Id,KEN,30,3_OK__Digital-Id__KEN.csv
OK,Digital Id,LBR,27,3_OK__Digital-Id__LBR.csv
OK,Digital Id,LBY,21,3_OK__Digital-Id__LBY.csv
OK,Digital Id,LSO,24,3_OK__Digital-Id__LSO.csv
OK,Digital Id,MAR,29,3_OK__Digital-Id__MAR.csv
OK,Digital Id,MDG,14,3_OK__Digital-Id__MDG.csv
OK,Digital Id,MLI,30,3_OK__Digital-Id__MLI.csv
OK,Digital Id,MOZ,29,3_OK__Digital-Id__MOZ.csv
OK,Digital Id,MRT,29,3_OK__Digital-Id__MRT.csv
OK,Digital Id,MUS,30,3_OK__Digital-Id__MUS.csv
OK,Digital Id,MWI,30,3_OK__Digital-Id__MWI.csv
OK,Digital Id,NAM,29,3_OK__Digital-Id__NAM.csv
OK,Digital Id,NER,25,3_OK__Digital-Id__NER.csv
OK,Digital Id,NGA,30,3_OK__Digital-Id__NGA.csv
OK,Digital Id,RWA,30,3_OK__Digital-Id__RWA.csv
OK,Digital Id,SDN,28,3_OK__Digital-Id__SDN.csv
OK,Digital Id,SEN,27,3_OK__Digital-Id__SEN.csv
OK,Digital Id,SLE,30,3_OK__Digital-Id__SLE.csv
OK,Digital Id,SOM,29,3_OK__Digital-Id__SOM.csv
OK,Digital Id,SSD,29,3_OK__Digital-Id__SSD.csv
OK,Digital Id,STP,22,3_OK__Digital-Id__STP.csv
OK,Digital Id,SWZ,26,3_OK__Digital-Id__SWZ.csv
OK,Digital Id,SYC,29,3_OK__Digital-Id__SYC.csv
OK,Digital Id,TCD,22,3_OK__Digital-Id__TCD.csv
OK,Digital Id,TGO,28,3_OK__Digital-Id__TGO.csv
OK,Digital Id,TUN,30,3_OK__Digital-Id__TUN.csv
OK,Digital Id,TZA,29,3_OK__Digital-Id__TZA.csv
OK,Digital Id,UGA,29,3_OK__Digital-Id__UGA.csv
OK,Digital Id,ZAF,29,3_OK__Digital-Id__ZAF.csv
OK,Digital Id,ZMB,30,3_OK__Digital-Id__ZMB.csv
OK,Digital Id,ZWE,29,3_OK__Digital-Id__ZWE.csv
OK,Digital Pay,AGO,19,3_OK__Digital-Pay__AGO.csv
OK,Digital Pay,BDI,4,3_OK__Digital-Pay__BDI.csv
OK,Digital Pay,BEN,6,3_OK__Digital-Pay__BEN.csv
OK,Digital Pay,BFA,7,3_OK__Digital-Pay__BFA.csv
OK,Digital Pay,BWA,1,3_OK__Digital-Pay__BWA.csv
OK,Digital Pay,CAF,3,3_OK__Digital-Pay__CAF.csv
OK,Digital Pay,CIV,3,3_OK__Digital-Pay__CIV.csv
OK,Digital Pay,CMR,7,3_OK__Digital-Pay__CMR.csv
OK,Digital Pay,COD,2,3_OK__Digital-Pay__COD.csv
OK,Digital Pay,COG,3,3_OK__Digital-Pay__COG.csv
OK,Digital Pay,COM,1,3_OK__Digital-Pay__COM.csv
OK,Digital Pay,CPV,4,3_OK__Digital-Pay__CPV.csv
OK,Digital Pay,DJI,4,3_OK__Digital-Pay__DJI.csv
OK,Digital Pay,DZA,1,3_OK__Digital-Pay__DZA.csv
OK,Digital Pay,EGY,7,3_OK__Digital-Pay__EGY.csv
OK,Digital Pay,ETH,12,3_OK__Digital-Pay__ETH.csv
OK,Digital Pay,GAB,1,3_OK__Digital-Pay__GAB.csv
OK,Digital Pay,GHA,20,3_OK__Digital-Pay__GHA.csv
OK,Digital Pay,GIN,4,3_OK__Digital-Pay__GIN.csv
OK,Digital Pay,GMB,2,3_OK__Digital-Pay__GMB.csv
OK,Digital Pay,GNB,3,3_OK__Digital-Pay__GNB.csv
OK,Digital Pay,GNQ,7,3_OK__Digital-Pay__GNQ.csv
OK,Digital Pay,KEN,10,3_OK__Digital-Pay__KEN.csv
OK,Digital Pay,LBR,7,3_OK__Digital-Pay__LBR.csv
OK,Digital Pay,LBY,4,3_OK__Digital-Pay__LBY.csv
OK,Digital Pay,LSO,8,3_OK__Digital-Pay__LSO.csv
OK,Digital Pay,MAR,5,3_OK__Digital-Pay__MAR.csv
OK,Digital Pay,MDG,19,3_OK__Digital-Pay__MDG.csv
OK,Digital Pay,MLI,6,3_OK__Digital-Pay__MLI.csv
OK,Digital Pay,MOZ,5,3_OK__Digital-Pay__MOZ.csv
OK,Digital Pay,MRT,3,3_OK__Digital-Pay__MRT.csv
OK,Digital Pay,MWI,19,3_OK__Digital-Pay__MWI.csv
OK,Digital Pay,NAM,5,3_OK__Digital-Pay__NAM.csv
OK,Digital Pay,NER,3,3_OK__Digital-Pay__NER.csv
OK,Digital Pay,NGA,8,3_OK__Digital-Pay__NGA.csv
OK,Digital Pay,RWA,5,3_OK__Digital-Pay__RWA.csv
OK,Digital Pay,SDN,4,3_OK__Digital-Pay__SDN.csv
OK,Digital Pay,SEN,4,3_OK__Digital-Pay__SEN.csv
OK,Digital Pay,SLE,6,3_OK__Digital-Pay__SLE.csv
OK,Digital Pay,SOM,4,3_OK__Digital-Pay__SOM.csv
OK,Digital Pay,SSD,4,3_OK__Digital-Pay__SSD.csv
OK,Digital Pay,STP,4,3_OK__Digital-Pay__STP.csv
OK,Digital Pay,SWZ,6,3_OK__Digital-Pay__SWZ.csv
OK,Digital Pay,SYC,9,3_OK__Digital-Pay__SYC.csv
OK,Digital Pay,TCD,6,3_OK__Digital-Pay__TCD.csv
OK,Digital Pay,TGO,2,3_OK__Digital-Pay__TGO.csv
OK,Digital Pay,TUN,13,3_OK__Digital-Pay__TUN.csv
OK,Digital Pay,TZA,1,3_OK__Digital-Pay__TZA.csv
OK,Digital Pay,UGA,3,3_OK__Digital-Pay__UGA.csv
OK,Digital Pay,ZAF,14,3_OK__Digital-Pay__ZAF.csv
OK,Digital Pay,ZMB,3,3_OK__Digital-Pay__ZMB.csv
OK,Digital Pay,ZWE,5,3_OK__Digital-Pay__ZWE.csv
OK,ICT Infrastructure,AGO,3,3_OK__ICT-Infrastructure__AGO.csv
OK,ICT Infrastructure,BDI,10,3_OK__ICT-Infrastructure__BDI.csv
OK,ICT Infrastructure,BEN,6,3_OK__ICT-Infrastructure__BEN.csv
OK,ICT Infrastructure,BFA,7,3_OK__ICT-Infrastructure__BFA.csv
OK,ICT Infrastructure,BWA,2,3_OK__ICT-Infrastructure__BWA.csv
OK,ICT Infrastructure,CAF,10,3_OK__ICT-Infrastructure__CAF.csv
OK,ICT Infrastructure,CMR,9,3_OK__ICT-Infrastructure__CMR.csv
OK,ICT Infrastructure,COD,3,3_OK__ICT-Infrastructure__COD.csv
OK,ICT Infrastructure,COG,3,3_OK__ICT-Infrastructure__COG.csv
OK,ICT Infrastructure,COM,2,3_OK__ICT-Infrastructure__COM.csv
OK,ICT Infrastructure,CPV,1,3_OK__ICT-Infrastructure__CPV.csv
OK,ICT Infrastructure,DJI,7,3_OK__ICT-Infrastructure__DJI.csv
OK,ICT Infrastructure,DZA,1,3_OK__ICT-Infrastructure__DZA.csv
OK,ICT Infrastructure,EGY,1,3_OK__ICT-Infrastructure__EGY.csv
OK,ICT Infrastructure,ERI,6,3_OK__ICT-Infrastructure__ERI.csv
OK,ICT Infrastructure,ETH,3,3_OK__ICT-Infrastructure__ETH.csv
OK,ICT Infrastructure,GAB,5,3_OK__ICT-Infrastructure__GAB.csv
OK,ICT Infrastructure,GHA,1,3_OK__ICT-Infrastructure__GHA.csv
OK,ICT Infrastructure,GIN,2,3_OK__ICT-Infrastructure__GIN.csv
OK,ICT Infrastructure,GMB,4,3_OK__ICT-Infrastructure__GMB.csv
OK,ICT Infrastructure,GNB,6,3_OK__ICT-Infrastructure__GNB.csv
OK,ICT Infrastructure,GNQ,1,3_OK__ICT-Infrastructure__GNQ.csv
OK,ICT Infrastructure,LBR,4,3_OK__ICT-Infrastructure__LBR.csv
OK,ICT Infrastructure,LBY,10,3_OK__ICT-Infrastructure__LBY.csv
OK,ICT Infrastructure,LSO,4,3_OK__ICT-Infrastructure__LSO.csv
OK,ICT Infrastructure,MDG,4,3_OK__ICT-Infrastructure__MDG.csv
OK,ICT Infrastructure,MLI,4,3_OK__ICT-Infrastructure__MLI.csv
OK,ICT Infrastructure,MOZ,3,3_OK__ICT-Infrastructure__MOZ.csv
OK,ICT Infrastructure,MRT,2,3_OK__ICT-Infrastructure__MRT.csv
OK,ICT Infrastructure,MUS,3,3_OK__ICT-Infrastructure__MUS.csv
OK,ICT Infrastructure,MWI,2,3_OK__ICT-Infrastructure__MWI.csv
OK,ICT Infrastructure,NAM,2,3_OK__ICT-Infrastructure__NAM.csv
OK,ICT Infrastructure,NER,8,3_OK__ICT-Infrastructure__NER.csv
OK,ICT Infrastructure,NGA,3,3_OK__ICT-Infrastructure__NGA.csv
OK,ICT Infrastructure,RWA,1,3_OK__ICT-Infrastructure__RWA.csv
OK,ICT Infrastructure,SDN,3,3_OK__ICT-Infrastructure__SDN.csv
OK,ICT Infrastructure,SEN,2,3_OK__ICT-Infrastructure__SEN.csv
OK,ICT Infrastructure,SLE,6,3_OK__ICT-Infrastructure__SLE.csv
OK,ICT Infrastructure,SOM,4,3_OK__ICT-Infrastructure__SOM.csv
OK,ICT Infrastructure,SSD,5,3_OK__ICT-Infrastructure__SSD.csv
OK,ICT Infrastructure,STP,8,3_OK__ICT-Infrastructure__STP.csv
OK,ICT Infrastructure,SWZ,4,3_OK__ICT-Infrastructure__SWZ.csv
OK,ICT Infrastructure,SYC,10,3_OK__ICT-Infrastructure__SYC.csv
OK,ICT Infrastructure,TCD,8,3_OK__ICT-Infrastructure__TCD.csv
OK,ICT Infrastructure,TGO,4,3_OK__ICT-Infrastructure__TGO.csv
OK,ICT Infrastructure,TUN,1,3_OK__ICT-Infrastructure__TUN.csv
OK,ICT Infrastructure,TZA,2,3_OK__ICT-Infrastructure__TZA.csv
OK,ICT Infrastructure,UGA,4,3_OK__ICT-Infrastructure__UGA.csv
OK,ICT Infrastructure,ZAF,3,3_OK__ICT-Infrastructure__ZAF.csv
OK,ICT Infrastructure,ZMB,1,3_OK__ICT-Infrastructure__ZMB.csv
OK,ICT Infrastructure,ZWE,1,3_OK__ICT-Infrastructure__ZWE.csv
OK,Registries,AGO,2,3_OK__Registries__AGO.csv
OK,Registries,BDI,2,3_OK__Registries__BDI.csv
OK,Registries,BEN,6,3_OK__Registries__BEN.csv
OK,Registries,BFA,15,3_OK__Registries__BFA.csv
OK,Registries,BWA,2,3_OK__Registries__BWA.csv
OK,Registries,CAF,2,3_OK__Registries__CAF.csv
OK,Registries,CIV,3,3_OK__Registries__CIV.csv
OK,Registries,CMR,5,3_OK__Registries__CMR.csv
OK,Registries,COD,3,3_OK__Registries__COD.csv
OK,Registries,COG,2,3_OK__Registries__COG.csv
OK,Registries,COM,1,3_OK__Registries__COM.csv
OK,Registries,DZA,2,3_OK__Registries__DZA.csv
OK,Registries,EGY,3,3_OK__Registries__EGY.csv
OK,Registries,ETH,8,3_OK__Registries__ETH.csv
OK,Registries,GAB,6,3_OK__Registries__GAB.csv
OK,Registries,GHA,6,3_OK__Registries__GHA.csv
OK,Registries,GIN,3,3_OK__Registries__GIN.csv
OK,Registries,GMB,3,3_OK__Registries__GMB.csv
OK,Registries,GNB,2,3_OK__Registries__GNB.csv
OK,Registries,GNQ,4,3_OK__Registries__GNQ.csv
OK,Registries,KEN,12,3_OK__Registries__KEN.csv
OK,Registries,LBY,3,3_OK__Registries__LBY.csv
OK,Registries,LSO,9,3_OK__Registries__LSO.csv
OK,Registries,MAR,4,3_OK__Registries__MAR.csv
OK,Registries,MDG,4,3_OK__Registries__MDG.csv
OK,Registries,MLI,4,3_OK__Registries__MLI.csv
OK,Registries,MOZ,1,3_OK__Registries__MOZ.csv
OK,Registries,MWI,1,3_OK__Registries__MWI.csv
OK,Registries,NAM,1,3_OK__Registries__NAM.csv
OK,Registries,NGA,1,3_OK__Registries__NGA.csv
OK,Registries,SDN,8,3_OK__Registries__SDN.csv
OK,Registries,SEN,9,3_OK__Registries__SEN.csv
OK,Registries,SLE,2,3_OK__Registries__SLE.csv
OK,Registries,SOM,4,3_OK__Registries__SOM.csv
OK,Registries,SSD,3,3_OK__Registries__SSD.csv
